,Semilla,Algoritmo,Kilometros,Evaluaciones,Solucion
0,0,Greedy,574.5513854177129,1,[ 7  9 18  8 11 18 11 12  8 13 13 24 11 18 20 19]
0,19531855,Random_search,413.68728343505956,100,[12 12 15 16 15 14 13 11 10 15 12 19 10 14 16 16]
0,19531855,Local_search,409.06225365063557,791,[11  8 13 14 15 13 12 12 10 13 16 25  8 13 18 19]
0,19531855,Simulated_annealing,710.6216337716162,334,[11  7 13  6  8 13  8  9  6 10 10 18  8 13 15 65]
0,19531855,Tabu_search,394.48949920011546,3183,[ 9 12 13 14 17 14 13 12 11 12 17 21  8 13 16 18]
0,75352660,Random_search,415.9464220173119,100,[16 10 14 15 17 14 10 12 10 12 12 19 10 15 16 18]
0,75352660,Local_search,406.7720622890773,425,[17  9 13 13 17 13 11 13 10 13 12 20  8 13 19 19]
0,75352660,Simulated_annealing,643.2865566509013,404,[17  7 13  6  8 13  8  9  6 10 10 18  8 13 17 57]
0,75352660,Tabu_search,404.13449802429733,3187,[17 10 13 14 15 14 12  9 11 12 15 20  9 13 16 20]
0,98576233,Random_search,409.5387713060216,100,[13 11 14 13 16 14 12 11 13 14 14 19 11 14 16 15]
0,98576233,Local_search,420.0976456927815,646,[13  7 13 12 14 13 12 10 10 14 16 24  8 13 19 22]
0,98576233,Simulated_annealing,676.9778304021888,424,[13  7 13  6  8 13  8  9  6 10 10 18  8 13 17 61]
0,98576233,Tabu_search,397.4951377643274,3195,[10 10 13 14 16 13 12 12 11 13 17 22  8 13 16 20]
0,7533008,Random_search,411.59166402992344,100,[12 11 14 16 16 14 13 11 12 13 12 19 11 14 16 16]
0,7533008,Local_search,414.414846035796,402,[16  7 13 12 15 13 12 16 10 15 12 24  8 13 19 15]
0,7533008,Simulated_annealing,663.1765146581573,334,[16  7 13  6  8 13  8  9  6 10 10 18  8 13 15 60]
0,7533008,Tabu_search,409.9089885115127,3185,[16  7 13 11 16 14 10 16 11 16 12 24  8 13 16 17]
0,69409528,Random_search,414.9067248576535,100,[13  9 15 14 15 14 11 12 16 12 16 19  9 14 16 15]
0,69409528,Local_search,426.83407123690967,686,[12  8 13 12 13 13 12  9 14 14 17 20  8 13 16 26]
0,69409528,Simulated_annealing,687.715914373544,427,[12  7 13  6  8 13  8  9  6 10 10 18  8 13 17 62]
0,69409528,Tabu_search,407.9876397653862,3173,[11 10 15 14 15 14 13 11 10 14 16 19 10 13 19 16]
0,143202913,Random_search,422.9730442566149,100,[11 11 14 10 15 14 15 11 10 15 18 19 11 14 16 16]
0,143202913,Local_search,410.86778326703165,362,[11 10 14 14 14 14 12  9 14 17 15 20  8 13 16 19]
0,143202913,Simulated_annealing,710.6216337716162,368,[11  7 13  6  8 13  8  9  6 10 10 18  8 13 15 65]
0,143202913,Tabu_search,410.86778326703165,3163,[11 10 14 14 14 14 12  9 14 17 15 20  8 13 16 19]
0,5268385,Random_search,415.3568016788593,100,[10 10 14 13 18 14 14 10 10 12 14 19 13 15 17 17]
0,5268385,Local_search,408.68217924923795,603,[10  7 13 12 16 13 12 12 11 15 17 26  8 13 16 19]
0,5268385,Simulated_annealing,719.6971983746898,343,[10  7 13  6  8 13  8  9  6 10 10 18  8 13 15 66]
0,5268385,Tabu_search,409.10166595763235,3190,[10  9 13 12 15 13 12 13 11 17 17 22  9 14 15 18]
0,102741831,Random_search,413.1916396722334,100,[15 13 14 15 16 16 12 10  9 11 15 19 10 14 16 15]
0,102741831,Local_search,414.5992295438033,671,[11  7 13 14 14 13 12 12 10 14 16 24  8 13 19 20]
0,102741831,Simulated_annealing,698.5808563147792,422,[11  7 13  6  8 13  8  9  6 10 10 18  8 13 17 63]
0,102741831,Tabu_search,409.23748975680036,3191,[11  8 13 13 15 13 16 12 11 14 13 22  8 13 16 22]
0,51238440,Random_search,409.11039516669206,100,[14 11 14 13 14 14 16 10 11 13 15 19 11 14 16 15]
0,51238440,Local_search,447.76432611047875,517,[14  7 13 10 10 13 12 13 10 16 16 24  8 13 19 22]
0,51238440,Simulated_annealing,680.8811777031481,365,[14  7 13  6  8 13  8  9  6 10 10 18  8 13 15 62]
0,51238440,Tabu_search,399.9304940999965,3192,[14 12 14 14 14 13 12 10 11 14 17 20  9 13 16 17]
0,2259983,Random_search,413.4582704168068,100,[11 12 14 16 15 14 13 12 13 12 12 19 12 14 16 15]
0,2259983,Local_search,408.3254877117439,558,[11  8 13 14 17 13 10 10 11 14 15 21  8 13 16 26]
0,2259983,Simulated_annealing,710.6216337716162,391,[11  7 13  6  8 13  8  9  6 10 10 18  8 13 15 65]
0,2259983,Tabu_search,400.98593712873316,3186,[11 10 13 14 16 13 12 11 11 13 16 20  8 13 16 23]
0,156287005,Random_search,413.1479447150952,100,[12 10 14 13 16 14 16 10 12 15 14 19  9 15 16 15]
0,156287005,Local_search,419.31334920036886,884,[10  7 13 14 14 13 10 10 14 14 20 20  8 13 16 24]
0,156287005,Simulated_annealing,715.2962876601466,419,[10  7 13  6  8 13  8  9  6 10 10 18  8 13 16 65]
0,156287005,Tabu_search,404.0821452798414,3171,[16 10 13 14 14 13 11  9 11 13 16 23  8 14 15 20]
0,25818006,Random_search,414.5017411398788,100,[12 11 14 14 15 14 15 14  9 15 13 19  9 15 16 15]
0,25818006,Local_search,428.1262325113397,689,[10  7 13 13 13 13 12 14 10 14 16 20  8 13 19 25]
0,25818006,Simulated_annealing,719.6971983746898,354,[10  7 13  6  8 13  8  9  6 10 10 18  8 13 15 66]
0,25818006,Tabu_search,402.13822014544553,3167,[13  9 16 14 15 13 12  9 10 15 15 24  8 13 19 15]
0,454617,Random_search,419.89177295123824,100,[12 12 14 12 14 14 14 11 10 15 15 19 11 16 16 15]
0,454617,Local_search,410.0848614385522,645,[16  8 13 13 16 13 11  9 11 14 15 20  8 13 16 24]
0,454617,Simulated_annealing,663.1765146581573,327,[16  7 13  6  8 13  8  9  6 10 10 18  8 13 15 60]
0,454617,Tabu_search,400.5475634733889,3185,[10 11 13 14 16 13 12 12 11 12 16 20  8 13 16 23]
0,103638323,Random_search,417.7180555779561,100,[12 14 14 16 15 14 12 11 11 11 14 19 10 14 17 16]
0,103638323,Local_search,418.1977433604655,421,[17  7 13 14 13 13 11  9 10 13 16 25  8 13 19 19]
