,0
0,19531855
1,75352660
2,98576233
3,7533008
4,69409528
5,143202913
6,5268385
7,102741831
8,51238440
9,2259983
10,156287005
11,25818006
12,454617
13,103638323
14,75577695
15,6374575
16,45672790
17,186497346
18,168629901
19,117177982
20,196552947
21,149879756
22,77016134
23,181388906
24,19325689
25,122450441
26,31422648
27,172355869
28,82788182
29,38134219
30,91879617
31,32908766
32,89914159
33,92383803
34,5713847
35,35628884
36,36269716
37,87902734
38,183888863
39,111591152
40,99872737
41,24537277
42,55371901
43,71345022
44,159334966
45,46530386
46,149245360
47,153204503
48,149432010
49,68352747
50,133227682
51,193041161
52,93362948
53,122578989
54,112455117
55,163343318
56,122369798
57,168728911
58,170256662
59,175355752
60,188281183
61,193954658
62,129268405
63,88988139
64,170641302
65,99677126
66,197934911
67,1313143
68,634886
69,119727751
70,66621496
71,87082092
72,163864626
73,142410813
74,38377099
75,98154623
76,191264664
77,68311752
78,101802368
79,124894619
80,71840434
81,108637687
82,34013710
83,40247280
84,124024048
85,165705284
86,186231737
87,87523006
88,195783205
89,158319990
90,169220327
91,115481584
92,170880764
93,140867827
94,24772120
95,37559231
96,60315555
97,183443732
98,51414099
99,106272102
100,161678320
101,189951731
102,21424342
103,73465202
104,83824907
105,119938502
106,127891430
107,150623086
108,125463076
109,8312550
110,3732618
111,126836934
112,112350899
113,163260410
114,31702726
115,188376580
116,74339211
117,174188586
118,62113288
119,100910333
120,162661396
121,49841968
122,57683178
123,62787890
124,128791738
125,15018301
126,118544571
127,147886242
128,42781934
129,167142865
130,66298859
131,35250285
132,61562242
133,109287447
134,46971320
135,108896374
136,14216844
137,136635622
138,100308262
139,177701421
140,163107551
141,53102217
142,178008114
143,106494361
144,7028587
145,118892796
146,192853758
147,127828793
148,31529091
149,10256100
150,75247967
151,77351150
152,33808762
153,104871548
154,34229226
155,199386313
156,47612024
157,18281354
158,60881574
159,118839469
160,55046879
161,126170101
162,115362741
163,122478509
164,162250784
165,14664130
166,43983609
167,116699995
168,48839567
169,130947754
170,116157117
171,98367318
172,10755817
173,123188858
174,109962875
175,34260140
176,23824056
177,121257880
178,170945851
179,72224079
180,114521513
181,127623008
182,92722036
183,176042392
184,181059498
185,110007523
186,119866703
187,158723796
188,186985040
189,106659786
190,25021142
191,130426176
192,125475185
193,136580164
194,38961271
195,193141339
196,182606802
197,111960631
198,151179671
199,83434561
200,46175522
201,191978272
202,174221368
203,105882979
204,52952089
205,34762993
206,79447450
207,13764016
208,17947965
209,195056510
210,123750165
211,178047937
212,119801116
213,54513752
214,12454538
215,55533878
216,163855585
217,116071777
218,190046771
219,24128025
220,148302710
221,153447139
222,80950467
223,30583885
224,117455728
225,34036302
226,183001726
227,138483096
228,156038692
229,126901456
230,120153367
231,84585910
232,111964567
233,111035187
234,198927966
235,76677631
236,199709093
237,12188082
238,131685111
239,133970907
240,107696148
241,70758626
242,192332959
243,12296637
244,109830547
245,114994605
246,87633916
247,148907201
248,108318102
249,144442586
250,1255449
251,126068415
252,53867372
253,21259955
254,108606944
255,55922457
256,174181560
257,82043068
258,37401574
259,12410183
260,74960849
261,43755197
262,177692029
263,10154429
264,162966591
265,142248961
266,90425361
267,106117715
268,116920929
269,110180822
270,153236794
271,132916330
272,199338830
273,63246810
274,60863602
275,151377617
276,139034149
277,75542543
278,20495483
279,184980411
280,156393481
281,62806776
282,136662230
283,101884495
284,81821913
285,170429310
286,191367589
287,185747180
288,22849737
289,67684616
290,41173275
291,82224214
292,124312884
293,126686529
294,196154927
295,6847384
296,10840073
297,33157991
298,82964478
299,41740391
300,121358129
301,173476170
302,175541472
303,86111164
304,198872843
305,127438485
306,190075551
307,161871570
308,196024348
309,135512935
310,120319877
311,32784727
312,58986192
313,14438258
314,106875304
315,159239730
316,103600240
317,12177830
318,164245688
319,56024370
320,188444421
321,119543365
322,42849271
323,86775528
324,196008484
325,2295754
326,105896808
327,14052326
328,64874348
329,76937313
330,130368700
331,20375753
332,33777084
333,44740324
334,90750552
335,52236973
336,148256720
337,6168256
338,167359539
339,171119484
340,148570228
341,95025638
342,101779840
343,34014078
344,114653108
345,44442302
346,49001951
347,123644929
348,28506884
349,7898273
350,98586348
351,7409408
352,161135307
353,130198485
354,114721767
355,50970562
356,2613203
357,138767856
358,56427283
359,164484952
360,65441049
361,9885874
362,49055665
363,112330139
364,118914497
365,25068661
366,116241090
367,47031037
368,150124817
369,117274687
370,98690508
371,53140244
372,185973813
373,110902694
374,108550837
375,192286623
376,33545475
377,88822000
378,130441279
379,194561197
380,76795601
381,183896450
382,92972595
383,64627850
384,195527675
385,27076979
386,72674742
387,84417609
388,188800249
389,681413
390,140157264
391,12099430
392,184956926
393,189029306
394,142397670
395,73230571
396,64957218
397,141325159
398,136270139
399,77268352
400,57360692
401,120106909
402,106697694
403,65039638
404,187801997
405,172838195
406,107999739
407,176590781
408,5551455
409,43293758
410,42540903
411,127360093
412,155844082
413,93401631
414,30411105
415,56353437
416,25831085
417,101463457
418,33932791
419,71447819
420,36925511
421,49408684
422,119752542
423,121326993
424,76838696
425,129812075
426,20118195
427,96883060
428,151980513
429,101606414
430,30496054
431,185020133
432,136142198
433,90242227
434,38558465
435,49620230
436,115749900
437,91200735
438,76289115
439,56238972
440,140346988
441,120779751
442,75334273
443,13291827
444,14168739
445,78333694
446,117955101
447,36113451
448,127083195
449,198087877
450,151287521
451,143826121
452,31313218
453,194540131
454,142925428
455,192575002
456,196566968
457,153622420
458,181102962
459,18724242
460,159588882
461,6974235
462,82001682
463,136835578
464,99734604
465,53419452
466,128369362
467,184945269
468,112059413
469,180625780
470,178889018
471,92597039
472,102606616
473,107406841
474,60789836
475,83840457
476,81661434
477,96876543
478,42764882
479,197459525
480,81043824
481,163552929
482,7762668
483,70969228
484,117465027
485,195458939
486,85521086
487,47555397
488,142051826
489,77876957
490,189984863
491,139136045
492,7867542
493,147732564
494,24108325
495,92237652
496,140448818
497,141044009
498,173602378
499,14494868
500,45631816
501,29026452
502,3036232
503,31721895
504,24731937
505,24276809
506,153719679
507,144895625
508,26586592
509,152482283
510,161515744
511,40849440
512,145858948
513,15278150
514,18154582
515,89683289
516,46151794
517,179221376
518,177094713
519,36081178
520,56985559
521,174710639
522,172264256
523,169901726
524,47575820
525,45082717
526,160613122
527,118559125
528,172071343
529,34322774
530,14956771
531,170848379
532,39445609
533,52763795
534,198567830
535,103303656
536,139852977
537,85950999
538,5338305
539,132715710
540,81258489
541,135608627
542,202184
543,82088965
544,60371785
545,192027862
546,165433317
547,183876474
548,120363367
549,38860867
550,92527352
551,132118768
552,70537766
553,25154987
554,110090458
555,58924393
556,192277370
557,110877852
558,764338
559,14845854
560,177699334
561,129009880
562,156160123
563,196650448
564,65056546
565,142630717
566,102165648
567,60545899
568,31486266
569,189140015
570,94643814
571,95351907
572,116414173
573,42942572
574,161810701
575,110934737
576,15530802
577,104855451
578,108905959
579,51257177
580,44160320
581,153194925
582,79851797
583,25300750
584,160830461
585,165603351
586,13961564
587,63644449
588,10709082
589,10934498
590,185043961
591,180399107
592,129957707
593,179783968
594,28158054
595,175272917
596,21204079
597,42629398
598,149265645
599,164001523
600,155251305
601,190682687
602,70673753
603,187206911
604,99366653
605,46710392
606,129026615
607,72287378
608,133270642
609,189451715
610,69218959
611,173253326
612,57985042
613,15593504
614,55434205
615,60051313
616,157967411
617,65028497
618,33687886
619,8560892
620,183067362
621,42175896
622,193682829
623,190115867
624,48550264
625,163631690
626,58836299
627,208273
628,121417051
629,27144463
630,170833715
631,72949437
632,177554386
633,23030671
634,192231727
635,187336765
636,119510798
637,157900141
638,177828087
639,105298841
640,54355329
641,102957390
642,45236121
643,168465940
644,129978596
645,64633493
646,198053207
647,53841162
648,122608568
649,5159911
650,121975715
651,36380120
652,18941569
653,165402942
654,140595780
655,55459537
656,49150805
657,106393647
658,87804552
659,109690605
660,110694574
661,141504483
662,16526430
663,1433486
664,165630073
665,154600430
666,84989692
667,22364666
668,196641617
669,105365475
670,42751299
671,104880607
672,86408314
673,93430551
674,177646290
675,111595868
676,136403758
677,148197775
678,52175030
679,106067486
680,108185264
681,139081483
682,89960274
683,169336651
684,7725838
685,76082518
686,192310744
687,72875884
688,37293354
689,128235504
690,180585098
691,123293942
692,18448600
693,188853948
694,43961342
695,53024113
696,19642131
697,46567664
698,18630486
699,125794438
700,94696028
701,114407022
702,45164981
703,64313807
704,19393878
705,150452588
706,25149863
707,87169959
708,55221928
709,49028303
710,33272359
711,8883985
712,112557178
713,98410177
714,90986194
715,61225474
716,147690121
717,65105239
718,168842297
719,94684587
720,11840062
721,98732811
722,135451704
723,60931355
724,147669756
725,147623965
726,50314197
727,35589719
728,85144009
729,37383925
730,33507379
731,68772283
732,38375327
733,42753116
734,145957314
735,44441598
736,51841303
737,77021165
738,44144420
739,103650133
740,128512100
741,5709545
742,78803443
743,86752668
744,128471153
745,141193507
746,27315365
747,162576825
748,65039960
749,145229997
750,29844826
751,123806325
752,34790226
753,132957453
754,54670332
755,68858843
756,70163942
757,146644271
758,56557137
759,86960174
760,62616836
761,50583543
762,38710541
763,114270810
764,169876189
765,53501871
766,2552872
767,150535504
768,163087406
769,193445824
770,4969940
771,13892187
772,116385606
773,179980756
774,120401679
775,21200248
776,188371336
777,8741038
778,81898416
779,165738274
780,49317106
781,144883852
782,45822018
783,34603960
784,137250535
785,46228120
786,89137611
787,75582299
788,150723686
789,199700503
790,7176879
791,29154800
792,28054217
793,117376259
794,63917239
795,70322376
796,32172174
797,83229642
798,11822439
799,11180083
800,102368051
801,194051456
802,197149805
803,36513752
804,8999152
805,181520318
806,112381290
807,73468797
808,143124265
809,170016288
810,106761445
811,119234116
812,110495935
813,108153948
814,99580423
815,50713686
816,6738278
817,5812711
818,22868111
819,123987896
820,21009045
821,60766298
822,134045198
823,55011811
824,5458592
825,150623697
826,11789693
827,110994452
828,40153561
829,138845391
830,3252898
831,16736782
832,87130516
833,194663787
834,133200110
835,136949071
836,161781152
837,181324191
838,38687541
839,148813150
840,111840264
841,84384322
842,14230327
843,122597108
844,30085348
845,187219885
846,74646495
847,139749714
848,96683322
849,92417404
850,36449845
851,48149490
852,182747781
853,142900806
854,177497269
855,187282812
856,99800031
857,38954880
858,134319591
859,180631355
860,172024264
861,46890875
862,197933339
863,97139854
864,8933739
865,142506158
866,45330912
867,121608477
868,59709804
869,70558376
870,124716605
871,180872630
872,148126635
