Semilla,Algoritmo,Kilometros,Evaluaciones,Solucion
140078552,Local_search,607.748,913,[ 6  7 13 12 14 13 10 15 11 15 20 21  8 13 16 26]
140078552,VNS_Search,586.029,9082,[ 8  7 13 12 17 13 11 12 10 14 16 23  8 13 19 24]
140078552,Basic_G,505.74,14424,[11 10 16 14 18 14 14  9 12 13 14 18  8 13 15 16]
140078552,Multinode_G,504.996,60120,[14 10 15 14 20 14 13 12  8 13 12 18 10 13 15 14]
140078552,CHC,534.617,59928,[22  8 16 13 13 13 12 12  6 12 16 20  8 13 15 16]
148767458,Local_search,585.824,391,[12  7 13 12 13 13 12 12 10 14 16 24  8 13 19 22]
148767458,VNS_Search,580.707,8665,[14  7 13 13 13 13  9 11 11 14 17 25  8 13 15 24]
148767458,Basic_G,500.774,14424,[14  9 18 14 20 14 12 12  8 13 12 19  8 13 15 14]
148767458,Multinode_G,502.867,60120,[12  9 21 14 17 14 12  9 12 12 14 19  8 13 15 14]
148767458,CHC,535.035,57120,[17 10 13 20 20 19  8 10  6 12 12 18  8 13 15 14]
129149937,Local_search,601.55,512,[12  7 13 10 12 13 11 11 10 16 18 24  8 13 19 23]
129149937,VNS_Search,577.342,6825,[13  7 13 12 14 14 13 10 10 17 16 27  8 13 19 14]
129149937,Basic_G,509.795,14424,[12  9 19 15 15 14 13  9  8 11 16 24  8 13 15 14]
129149937,Multinode_G,502.15,60120,[12 11 18 14 20 14 12 12  8 14 12 18  8 13 15 14]
129149937,CHC,530.815,46320,[13  7 16 19 19 14 13 13  7 13 12 19  8 13 15 15]
63345587,Local_search,601.507,813,[10  7 13 10 15 13 11 11 10 13 17 20  8 13 19 30]
63345587,VNS_Search,584.409,5240,[10  7 13 14 17 13 11 10 10 10 16 22  8 13 19 27]
63345587,Basic_G,514.631,14424,[10  9 15 14 16 15 14 10  8 19 16 19  8 13 15 14]
63345587,Multinode_G,499.65,60120,[12  9 16 14 20 14 12 12 12 13 12 19  8 13 15 14]
63345587,CHC,563.341,60168,[12  9 14  8 16 14 14 14 12 16 12 18 12 14 16 15]
34590938,Local_search,580.529,765,[13  7 13 12 15 13 11  9 10 14 17 27  8 13 19 19]
34590938,VNS_Search,582.175,13299,[11  7 13 12 15 13 10 10 11 14 19 24  8 13 16 24]
34590938,Basic_G,504.58,14424,[11  8 20 14 17 13 12 10 12 12 14 22  8 13 15 14]
34590938,Multinode_G,505.382,60120,[15  9 13 15 20 14 12 12  8 13 12 19  8 13 15 17]
34590938,CHC,558.674,55560,[ 7  8 15 14 19 14 10 10 10 14 19 18 10 14 16 17]
