seed,alpha,best_solution,best_solution_kms,best_solution_slots
56428042,2.0,[13 10 16 15 20 14 12 12  8 15 12 18  8 13 15 14],432.015,215
27886648,2.0,[14  9 14 14 20 14 12 12  9 14 12 19  8 13 16 16],423.435,216
173386297,2.0,[11  8 16 14 16 14 14  9  8 17 14 24  8 13 15 14],439.273,215
78746995,2.0,[12  8 18 15 20 14 12 12  8 11 12 23  8 13 15 14],430.175,215
95206404,2.0,[11 10 21 14 18 14 15 11  8 12 13 18  8 13 15 14],436.626,215
56428042,2.2,[10  7 17 14 20 14 12  9 12 12 14 23  8 13 15 14],446.692,214
27886648,2.2,[13  7 15 14 20 14 12 12 12 12 10 23  8 13 15 14],442.974,214
173386297,2.2,[12  9 18 14 20 14 12  9 12 12 14 18  8 13 15 14],447.32,214
78746995,2.2,[10  7 17 14 19 14 12  9 12 13 14 23  8 13 15 14],447.185,214
95206404,2.2,[16  9 16 14 20 14 12 12  8 13 12 19  8 13 15 14],430.281,215
