seed,alpha,best_solution,best_solution_kms,best_solution_slots
150133372,2.2,[18 12 23 18 20 13 15 12  8 18 26 30  8 14 18 16],130.848,269
34812062,2.2,[20 12 23 17 20 13 17 12 10 23 26 26  8 15 17 14],129.045,273
108102679,2.2,[17 12 23 17 20 13 15 13  9 18 25 33  8 13 19 15],132.031,270
149065592,2.2,[18 12 23 18 20 13 15 13  8 18 25 30  8 16 16 16],132.808,269
49597504,2.2,[18 12 23 18 20 14 14 12  8 18 26 30  8 13 19 16],130.523,269
45204113,2.2,[16 12 23 18 20 14 14 14  8 18 26 30  8 16 16 16],133.648,269
4622414,2.2,[18 12 23 18 20 13 15 12  8 18 26 30  8 14 18 16],130.848,269
68270573,2.2,[17 11 23 18 20 13 16 13  8 18 26 30  8 13 19 16],132.407,269
7450428,2.2,[15 12 23 18 20 14 14 16  8 18 25 32  8 13 19 16],130.437,271
148246477,2.2,[20 12 20 22 20 13 19 12 12 14 26 27  8 13 19 14],137.671,271
