seed,alpha,best_solution,best_solution_kms,best_solution_slots
56428042,2.0,[14  9 19 14 20 14 12 12  8 13 12 18  8 13 15 14],431.387,215
27886648,2.0,[12  8 16 14 17 14 12  9 12 13 14 24  8 13 15 14],432.89,215
173386297,2.0,[13  9 18 14 20 14 13 12  8 13 12 19  8 13 15 14],430.534,215
78746995,2.0,[12 10 18 14 20 14 13 12  8 13 12 18  9 13 15 14],431.54,215
95206404,2.0,[13  8 17 14 20 14 12 12 12 12 11 20  8 13 15 14],429.212,215
56428042,2.2,[11 12 18 14 15 14 12  9 12 12 14 19  8 13 15 14],485.135,212
27886648,2.2,[12  7 16 14 20 14 12 12 12 15 10 19  8 13 15 14],459.602,213
173386297,2.2,[ 9  7 16 14 17 14 12  9 12 14 14 24  8 13 15 14],482.203,212
78746995,2.2,[ 8  7 20 14 12 14 15  9 11 15 18 20  8 13 15 14],475.791,213
95206404,2.2,[12  7 19 14 20 14 12 12 12 12 10 19  8 13 15 14],457.882,213
56428042,2.4,[ 8 12 16 14 16 14 12 10 12 12 14 19  8 13 15 14],525.418,209
27886648,2.4,[ 8  7 16 14 17 14 12  9 12 13 14 23  8 13 15 14],527.231,209
173386297,2.4,[ 8 12 13 14 17 14 12  9 12 12 14 22  8 13 15 14],523.929,209
78746995,2.4,[ 8  7 20 14 17 14 12  9 12 12 14 20  8 13 15 14],526.446,209
95206404,2.4,[ 8  7 19 14 17 14 12  9 12 12 14 21  8 13 15 14],526.426,209
56428042,2.6,[ 8 10 19 14 12 14 12  9 12 14 15 20  8 13 15 14],531.774,209
27886648,2.6,[11 12 14 14 14 14 12  9 12 12 14 21  8 13 15 14],524.358,209
173386297,2.6,[11 11 13 15 12 14 12 11 12 14 14 20  8 13 15 14],531.167,209
78746995,2.6,[ 8 12 16 14 14 14 12  9 12 12 15 21  8 13 15 14],528.726,209
95206404,2.6,[ 8 12 16 14 16 14 12 10 12 12 14 19  8 13 15 14],525.418,209
56428042,2.8,[13 12 13 14 12 14 12  9 12 12 14 22  8 13 15 14],525.838,209
27886648,2.8,[10  7 16 14 15 14 11  9 12 13 14 24  8 13 15 14],527.657,209
173386297,2.8,[ 9 12 14 14 16 14 12  9 12 12 14 21  8 13 15 14],524.079,209
78746995,2.8,[11 12 14 14 14 14 12  9 12 12 14 21  8 13 15 14],524.358,209
95206404,2.8,[ 9 12 13 14 16 13 12  9 12 15 14 20  8 13 15 14],526.429,209
56428042,3.0,[11 11 14 14 13 14 12 10 12 12 14 21  8 13 15 14],546.501,208
27886648,3.0,[ 8 12 16 14 12 14 13  9 12 12 16 20  8 13 15 14],548.068,208
173386297,3.0,[11 11 16 14 14 14 12  9 11 12 14 20  8 13 15 14],545.971,208
78746995,3.0,[ 8 12 13 14 12 14 12  9 12 14 16 22  8 13 15 14],548.676,208
95206404,3.0,[ 8 12 14 14 17 14 12  9 12 12 14 20  8 13 15 14],544.508,208
