seed,alpha,best_solution,best_solution_kms,best_solution_slots
56428042,1.2,[20 12 27 19 20 13 15 12 10 21 26 34  8 13 19 15],107.343,284
27886648,1.2,[19 12 27 18 20 14 14 13 10 22 26 34  8 13 19 14],108.925,283
173386297,1.2,[21 12 27 18 20 13 15 14 10 22 23 34  8 13 19 14],111.469,283
78746995,1.2,[20 12 27 18 20 13 15 12 10 22 26 34  8 13 19 14],107.9,283
95206404,1.2,[18 12 27 18 20 14 14 12  8 22 26 34  8 13 19 16],109.881,281
56428042,1.6,[18 12 25 18 20 13 15 12  8 22 26 32  8 16 16 16],116.812,277
27886648,1.6,[17 11 23 18 20 13 18 13  8 22 26 24  8 17 15 16],137.884,269
173386297,1.6,[20 12 25 18 20 14 14 14 10 22 24 34  8 15 17 14],113.655,281
78746995,1.6,[16 12 23 18 20 13 15 14  9 22 25 34  8 13 19 15],121.432,276
95206404,1.6,[15 14 23 18 20 13 13 15  8 20 26 34  8 13 19 16],127.667,275
56428042,2.0,[18 12 23 18 20 13 16 12  8 22 26 27  8 15 17 14],134.233,269
27886648,2.0,[18 12 23 18 20 14 14 12  8 18 26 30  8 16 16 16],131.803,269
173386297,2.0,[18 12 19 22 20 13 17 12 10 14 26 28  8 13 19 14],146.428,265
78746995,2.0,[17 12 22 22 20 13 17 13  8 14 26 27  8 13 19 14],145.355,265
95206404,2.0,[18 12 20 22 20 13 17 13 10 20 25 24  8 13 19 14],142.718,268
56428042,2.4,[18 12 19 22 20 13 17 14 10 14 24 28  8 14 18 14],149.068,265
27886648,2.4,[18 12 23 18 20 13 15 14  8 18 24 30  8 13 19 16],132.635,269
173386297,2.4,[18 12 21 19 20 14 17 14  8 19 24 25  8 14 18 14],146.866,265
78746995,2.4,[18 12 23 18 20 13 15 12  8 18 26 30  8 13 19 16],130.421,269
95206404,2.4,[18 12 22 22 20 13 16 13  8 14 25 28  8 13 19 14],145.52,265
56428042,2.8,[17 12 18 21 20 13 17 13  8 17 26 28  8 13 19 14],150.384,264
27886648,2.8,[18 12 23 18 20 13 17 14  8 18 24 26  8 16 16 14],145.439,265
173386297,2.8,[17 12 20 22 20 13 17 13  8 14 26 28  8 13 19 15],145.692,265
78746995,2.8,[17 11 22 22 20 13 18 13  8 14 26 27  8 13 19 14],146.419,265
95206404,2.8,[18 12 20 20 20 13 17 13  8 15 25 28  8 13 19 14],152.332,263
56428042,3.2,[13 12 18 20 20 14 17  9 12 14 22 28  8 13 19 14],201.676,253
27886648,3.2,[19 12 18 16 19 14 13 13  9 23 21 24 13 13 19 14],175.611,260
173386297,3.2,[20 12 23 16 18 13 17 14  8 18 20 26  8 13 19 14],164.824,259
78746995,3.2,[11 12 19 20 20 14 17 11 12 14 22 27  8 13 19 14],201.696,253
95206404,3.2,[19 12 20 20 18 13 17 15  9 14 20 28  8 13 19 14],168.61,259
