seed,radius,n_resets,best_solution,best_solution_km,kms_history,n_generations
56428042,6,0,[15  7 14 16 13 13 19  9 15 12 10 20  9 14 15 15],549.858,[625.172 625.172 625.172 ... 748.859 669.291 669.291],2090
27886648,6,0,[ 6  8 20 11 17 13 16 21  8 10 14 18 10 13 15 14],568.836,[588.238 588.238 588.238 ... 663.481 637.243 647.645],2211
173386297,6,0,[12 10 13  9 17 18 10  9 10 16 16 20 10 14 16 16],566.005,[621.207 621.207 616.293 ... 688.518 590.62  590.62 ],2215
78746995,6,0,[15  7 16 14 14 14 11  9 19 13 13 18  8 14 15 15],542.202,[594.538 594.538 594.538 ... 669.43  642.967 654.409],2224
95206404,6,0,[14 14 17 14 19 14  8  9  7 10 12 19 16 13 15 14],549.023,[603.495 603.495 603.495 ... 666.217 688.218 669.579],2253
56428042,8,0,[15  8 18 15 16 13 10  9  7 10 14 23  9 13 17 18],548.847,[625.172 598.57  598.57  ... 631.182 685.792 654.247],2262
27886648,8,0,[ 7  8 18 15 11 14  9 11 18 11 21 20  9 13 16 14],565.327,[588.238 588.238 588.238 ... 697.988 715.244 697.32 ],2273
173386297,8,1,[11  8 18 16 20 15  8 10 18 11 11 18  8 13 15 15],542.209,[618.921 618.921 618.921 ... 677.67  677.67  707.857],2130
78746995,8,0,[ 9  7 18 12 12 22 11  9  8 10 23 21  8 13 15 14],566.311,[594.538 604.218 604.218 ... 760.599 732.595 718.893],2171
95206404,8,0,[16  9 15  9 18 13 15  9  6 13 17 19  8 14 15 20],552.349,[608.229 608.229 608.229 ... 752.918 752.918 736.037],2237
56428042,10,7,[12 10 20 13 19 20 11  9  6 13 14 18  8 13 15 14],523.412,[625.172 625.172 625.172 ... 619.022 673.906 651.355],2338
27886648,10,2,[18 12 16 16 15 16 10 12  7 11 11 19  8 13 15 16],534.356,[588.238 588.238 684.348 ... 675.165 716.482 706.072],2240
173386297,10,1,[18  8 20 13 11 13 16 11 15 10 11 19  8 13 15 14],543.875,[618.921 618.921 618.921 ... 639.643 674.539 689.46 ],2300
78746995,10,5,[12  7 13 19 21 13 22  9  6 11 14 18  8 13 15 14],540.697,[594.538 594.538 594.538 ... 697.292 697.292 697.292],2322
