seed,radius,n_resets,best_solution,best_solution_km,kms_history
56428042,2,0,[ 8  8 24 17 20 14  8 11  8 16 10 18 10 13 16 14],569.508,[638.382 594.876 635.088 ... 715.07  690.239 678.955]
27886648,2,0,[17  8 13 12 14 18 14 12 11 11 11 20 10 14 16 14],557.695,[563.08  597.746 628.931 ... 732.754 748.729 739.767]
173386297,2,0,[ 8 11 14 14 16 18 12 13  9 11 15 20  9 14 16 17],549.912,[570.551 549.912 584.71  ... 684.969 685.118 690.921]
78746995,2,0,[ 9  7 16 17 19 14  8  9 11 11 10 25 10 13 15 19],546.288,[586.941 604.071 584.262 ... 680.909 687.926 679.489]
95206404,2,0,[11 10 18 14 14 13 15  9 14 13 13 22  8 13 15 14],529.168,[572.292 565.627 566.602 ... 798.152 775.752 777.942]
56428042,4,0,[11  7 13 10 15 18 15 11 11 10 13 24 11 14 15 17],556.531,[644.221 663.637 668.667 ... 655.814 667.105 657.963]
27886648,4,0,[ 8  9 22 14 12 15  8 16  6 14 15 19  9 13 15 20],557.298,[614.204 614.627 616.859 ... 633.738 657.639 669.824]
173386297,4,0,[15  9 21 14 14 13 19  9  6 11 11 19 10 14 15 15],548.707,[630.653 622.452 618.512 ... 649.99  623.381 611.837]
78746995,4,0,[ 9  7 13 12 14 15  8 13 11 19 16 22 13 13 15 15],551.413,[566.795 625.416 617.882 ... 697.387 693.794 702.509]
95206404,4,0,[ 8  7 23 15 16 13 14 11  9 12 15 20  8 13 15 15],528.689,[591.176 606.891 629.698 ... 691.131 617.627 630.681]
56428042,6,0,[ 6 13 13 14 14 14 14 18 13 11 11 25  8 13 15 14],554.13,[617.944 644.319 639.727 ... 660.085 660.085 660.085]
27886648,6,0,[11  9 22 14 20 21 15  9  6 10 10 18  8 13 15 14],540.448,[588.238 583.859 628.548 ... 731.469 713.855 688.32 ]
173386297,6,0,[10  9 15 14 15 14 15 12 15 10 10 24  8 14 15 15],534.305,[581.504 589.88  607.901 ... 657.166 628.016 657.166]
78746995,6,0,[16  8 14 21 17 13  9 17  6 14 11 18  8 13 15 15],549.307,[563.159 594.538 593.718 ... 890.021 868.01  945.055]
95206404,6,0,[ 9  7 15 15 23 13  8  9  6 10 19 19  8 13 15 25],557.272,[638.068 601.608 601.608 ... 757.636 714.818 702.623]
56428042,8,0,[11  7 14  8 10 15  8 10  9 17 23 26 11 14 15 17],590.053,[625.172 625.172 625.172 ... 805.232 777.068 773.219]
27886648,8,0,[17  8 16 11 12 13 11  9  8 11 18 22  8 13 16 22],558.856,[591.547 591.547 591.547 ... 723.665 693.619 681.525]
173386297,8,0,[16  7 26 15 14 13 13  9  6 13 11 21  8 15 15 14],550.849,[618.921 618.921 621.461 ... 763.995 729.982 747.083]
78746995,8,0,[12 12 19 14 18 14 11 18  8 10 12 18  9 13 15 14],539.281,[594.538 594.538 604.218 ... 733.178 683.228 673.298]
95206404,8,0,[11  9 21 16 16 13  9 18 11 10 10 18  8 13 16 14],544.364,[608.229 608.229 580.769 ... 776.872 757.691 754.166]
