seed,radius,n_resets,best_solution,best_solution_km,kms_history,n_generations
56428042,4,0,[ 7 14 15 15 15 13 14 14  6 10 12 22  9 13 15 20],554.392,[598.513 635.573 659.61  ... 659.5   659.5   661.052],2135
27886648,4,0,[15  7 19 13 16 13 10 11  8 12 13 20  9 13 15 21],531.417,[608.914 613.069 627.402 ... 678.201 677.447 667.185],2340
173386297,4,0,[ 9 11 25 13 18 13  8 11  6 13 15 24  8 13 15 14],540.686,[570.516 562.761 584.193 ... 682.373 739.583 731.414],2265
78746995,4,0,[13 10 15 17 18 13 16  9  8 10 14 18 11 13 17 15],538.921,[573.446 640.849 621.529 ... 641.085 641.085 653.133],2323
95206404,4,0,[ 8  7 16 13 15 15 17 19  6 11 10 22  8 13 15 20],560.06,[600.252 615.462 621.243 ... 635.606 700.854 705.192],2347
56428042,6,0,[13  8 13 19 14 14  8  9 10 10 24 18  9 13 15 18],554.984,[625.172 630.178 623.237 ... 872.193 860.62  860.62 ],2167
27886648,6,1,[ 9  8 15 13 13 14  8 11  7 21 21 25  8 13 15 14],547.087,[588.238 602.794 602.794 ... 641.441 663.129 661.45 ],2484
173386297,6,1,[ 6  8 14 19 15 19 13 10 12 10 18 18  8 13 15 15],547.433,[641.704 637.234 615.689 ... 746.063 746.063 746.063],2322
78746995,6,0,[11  7 21 12 12 14 13 12  6 18 10 24  9 13 15 17],555.144,[594.538 657.001 782.99  ... 801.286 806.397 816.675],1650
95206404,6,1,[12  7 13 16 14 14 20  9  9 10 10 26  8 13 15 16],547.173,[585.56  585.56  585.56  ... 644.665 659.052 661.164],2230
56428042,8,1,[ 9  8 14 14 19 18 17 12  7 10 13 24  8 14 15 14],534.652,[625.172 625.172 625.172 ... 670.921 670.921 670.921],2240
27886648,8,2,[16  9 13 14 21 16  9 12  7 11 14 24  8 13 15 14],531.183,[588.238 588.238 602.966 ... 725.163 725.163 725.163],2383
173386297,8,2,[19  7 18 16 15 13  8 14  6 10 10 29  8 13 15 14],537.719,[618.921 621.207 621.207 ... 630.063 638.338 667.461],2453
78746995,8,1,[11  7 20 18 20 14 17  9  6 10 10 22  8 13 16 15],533.36,[575.764 575.764 575.764 ... 587.84  587.84  609.504],2501
95206404,8,2,[13  7 14 14 17 13 13 12 14 10 10 28  8 13 15 14],522.926,[608.229 608.229 608.229 ... 674.673 674.843 674.843],2581
56428042,10,1,[17  7 27  9 18 13  8  9  6 11 14 25  8 13 15 15],546.507,[625.172 625.172 625.172 ... 648.75  648.75  644.568],2422
27886648,10,2,[ 8  8 17 14 17 14 10 16 12 11 14 19  9 14 16 16],547.693,[588.238 588.238 588.238 ... 702.59  685.212 702.59 ],2327
173386297,10,2,[16  7 19 17 13 13 18  9  6 10 14 21  9 13 15 14],537.443,[604.161 618.921 628.148 ... 557.539 549.456 549.456],2402
78746995,10,3,[ 9 10 14 15 20 18 15 10  6 12 11 22 10 13 16 15],542.871,[594.538 594.538 594.538 ... 624.09  669.989 672.008],2563
95206404,10,2,[23  8 14 12 14 15 12 14  7 10 12 23  9 13 16 16],565.026,[608.229 608.229 608.229 ... 687.565 687.565 710.584],2490
56428042,12,8,[23  8 14 14 12 16 12  9 12 11 11 21  9 13 15 14],524.208,[608.679 608.679 608.679 ... 625.202 608.748 604.65 ],2409
27886648,12,8,[24  7 17 13 13 13 11 11  8 12 13 21  8 14 15 15],537.877,[588.238 588.238 588.238 ... 695.302 674.775 668.436],2507
173386297,12,10,[15 10 16 13 12 16 16 10  7 13 14 19 11 14 16 15],550.789,[618.921 618.921 618.921 ... 628.881 628.881 628.881],1276
78746995,12,3,[ 7 12 13 22 18 14 13 10  6 10 17 20  9 13 15 15],548.918,[594.538 594.538 594.538 ... 683.764 682.005 682.005],2404
95206404,12,4,[12  7 17 11 21 14 16  9 10 11 18 18  8 13 16 14],550.261,[608.229 608.229 608.229 ... 691.476 679.281 691.476],2449
56428042,14,10,[13  8 14 16  9 14 11 13 11 11 14 19 16 14 16 15],581.614,[590.536 584.107 584.107 584.107 584.107 584.107 584.107 584.107 581.619],9
27886648,14,10,[ 8 12 17 17 12 15 13 10  8 13 13 19  9 15 16 16],580.194,[580.194 580.194 580.194],3
173386297,14,10,[ 9  9 14  8 13 14 12 10 14 12 20 18  8 13 15 25],558.263,[586.8   586.8   586.8   ... 683.269 668.284 668.284],1765
78746995,14,10,[14  8 14 17 17 14 10 10 10 11 12 24  8 13 16 16],537.427,[594.538 590.763 587.562 ... 907.277 907.277 537.427],2121
95206404,14,10,[ 9  8 17 15  9 17 11 10 11 11 17 19 11 14 16 16],591.101,[608.229 608.229 608.229 608.229 608.229 591.101],6
