seed,radius,radius_share,best_solution,best_solution_km,niches,niches_kms
56428042,8,6,[12  9 14 15 20 14 12 12 12 14 12 19  8 13 15 14],501.34,"[[13 13 15 14 18 14 13 11  8 14 13 18  8 13 15 15]
 [10  9 15 14 17 14 14 10  8 19 16 19  8 13 15 14]
 [11  9 17 14 17 14 12  9 12 13 15 19  8 13 15 17]
 [12  9 14 15 20 14 12 12 12 14 12 19  8 13 15 14]
 [12  9 14 14 20 14 13  9 12 14 14 19  9 13 15 14]]",[515.075 516.165 507.093 501.34  505.951]
27886648,8,6,[10 10 20 14 19 14 13 10 12 12 13 18  8 13 15 14],503.865,"[[14  9 17 14 16 14 13  9 12 14 14 19  8 13 15 14]
 [10 10 20 14 19 14 13 10 12 12 13 18  8 13 15 14]
 [ 8  8 21 14 14 14 13 14  8 12 16 21  8 13 15 16]
 [14 10 15 14 20 14 13 11  8 12 13 18  8 13 15 17]
 [18  8 14 14 18 14 12  9 12 12 12 22  8 13 15 14]]",[507.17  503.865 521.491 506.482 505.83 ]
173386297,8,6,[14  9 14 14 20 14 12 13  8 13 12 20  8 13 15 16],506.453,"[[12 10 20 14 18 14 12 12  8 13 14 18  8 13 15 14]
 [12 10 13 12 20 14 12 12 12 16 12 18  8 13 15 16]
 [12  9 13 14 20 14 13 16  8 14 12 19  8 13 15 15]
 [10 10 16 14 18 13 14 10 12 14 14 18  8 13 15 16]
 [14  9 14 14 20 14 12 13  8 13 12 20  8 13 15 16]]",[507.101 506.845 508.526 507.639 506.453]
78746995,8,6,[16  9 18 14 19 14 12 10  8 13 13 19  8 13 15 14],505.004,"[[15  9 13 15 20 13 12 12  8 11 12 19 11 13 15 17]
 [11  9 15 14 20 14 12  9 12 16 14 19  8 13 15 14]
 [10 10 19 15 19 14 12 11 12 11 14 18  8 13 15 14]
 [16  9 18 14 19 14 12 10  8 13 13 19  8 13 15 14]
 [13  9 16 15 14 14 14  9  8 12 16 19 11 13 15 17]]",[510.666 505.077 505.926 505.004 519.739]
95206404,8,6,[13  8 15 14 20 14 12 12 12 14 11 20  8 13 15 14],500.763,"[[10  9 19 14 16 15 14 10  8 14 16 19  9 13 15 14]
 [12  8 17 14 16 14 12  9 12 15 14 22  8 13 15 14]
 [15  9 15 14 20 14 12 11  8 13 15 19  8 13 15 14]
 [13  8 15 14 20 14 12 12 12 14 11 20  8 13 15 14]
 [12  8 20 14 15 14 12  9 12 13 15 21  8 13 15 14]]",[512.831 504.823 507.347 500.763 505.44 ]
56428042,8,8,[11  9 15 14 20 14 12 10 12 15 14 19  8 13 15 14],504.824,"[[10  9 20 15 17 14 13 10 12 11 15 19  8 13 15 14]
 [10  9 15 14 15 16 14 11  8 20 14 19  8 13 15 14]
 [11  9 15 14 20 14 12 10 12 15 14 19  8 13 15 14]
 [12  9 14 16 20 14 12 11  8 12 13 24  8 13 15 14]
 [11 10 16 16 17 14 14  9 12 12 15 18  8 13 15 15]]",[505.209 517.744 504.824 506.922 506.766]
27886648,8,8,[13  7 18 16 20 13 12 12 12 10 10 21  8 13 15 14],501.721,"[[11 11 15 14 17 14 12  9 12 16 15 18  9 13 15 14]
 [13  7 18 16 20 13 12 12 12 10 10 21  8 13 15 14]
 [11  9 14 14 16 14 13  9 12 14 16 19  8 13 15 18]
 [10  9 14 14 20 14 13 11 12 16 13 19  8 13 15 14]
 [12 10 14 14 20 14 12  9 12 16 14 18  8 13 15 14]]",[508.613 501.721 509.856 507.263 504.778]
173386297,8,8,[15  8 16 14 20 14 12 12  8 12 12 21  8 13 15 15],502.208,"[[15  8 16 14 20 14 12 12  8 12 12 21  8 13 15 15]
 [13  7 13 14 19 14 12 12 12 15 11 22  8 13 15 14]
 [10 10 15 16 16 14 14 10  8 12 16 24  8 13 15 14]
 [10 10 17 14 17 14 16 10 12 13 14 18  8 13 15 14]
 [17  9 17 14 17 14 13 13  8 12 12 19  8 13 15 14]]",[502.208 503.24  514.977 507.966 506.79 ]
78746995,8,8,[13  8 15 15 20 14 12 11 12 11 12 22  8 13 15 14],501.517,"[[11  8 15 14 16 16 12  9  8 14 15 26  8 13 15 15]
 [13  8 15 15 20 14 12 11 12 11 12 22  8 13 15 14]
 [15  8 14 14 20 14 13 10  8 13 16 20  8 13 15 14]
 [12 10 18 14 19 13 12  9 12 14 14 18  8 13 15 14]
 [14  8 13 14 20 14 14  9  8 15 13 23  8 13 15 14]]",[512.2   501.517 510.096 504.865 506.579]
95206404,8,8,[12  8 14 14 20 14 12 12 12 14 12 21  8 13 15 14],500.994,"[[10  9 17 14 18 15 14 12 12 13 12 19  8 13 15 14]
 [12  8 14 14 20 14 12 12 12 14 12 21  8 13 15 14]
 [11  8 15 14 19 14 13  9 12 12 14 23  9 13 15 14]
 [11  8 16 14 18 14 12  9 12 16 14 21  8 13 15 14]
 [11  9 16 14 19 16 14  9 12 12 14 19  8 13 15 14]]",[507.563 500.994 505.559 505.161 506.397]
